	type	stat	multiplier	element	target	playerCost	rarity	EN	damage	condition	upgradeable	AI	weight	exhaust	retain	armor	gfx	draw	energy_gain	FR	DE	ES	BR	CN	JP	RU
Sacrifice+	Skill			None	player	0	2	Sacrifice+{desc}Choose one card to exhaust. Choose one card from your discard pile to add to your hand.			0	0	0.5	0	0	0	shine			Sacrifice+{desc}Choisis une carte à éliminer. Choisis une carte de ta défausse à ajouter à ta main.	Opfer+{desc}Erschöpfe 1 Karte deiner Wahl. Wähle 1 Karte aus deinem Ablagestapel aus und nimm sie auf die Hand.	Sacrificio +{desc}Consume una carta, la que quieras. Escoge una carta de la pila de descartes y añádela a tu mano.	Sacrifício+{desc}Escolha uma carta para colocar em Exaustão. Escolha uma carta da sua pilha de descarte para adicionar à sua mão.	牺牲+{desc}选择 1 张牌耗尽。从你的弃牌堆中选择 1 张牌加入你的手牌。	犠牲+{desc}「消耗」状態にするカードを1枚選ぶ。捨て札から1枚選んで手札に加える。	Жертвоприношение+{desc}Сожгите одну карту. Выберите одну карту из вашей стопки сброса, чтобы добавить в вашу руку.
																										
								// Shop-only cards																		
Booster Pack	Skill			None	player	1	22	Booster Pack{desc}Choose one of three random cards to add to your hand. Discard the rest.			1	0	2	1	1	0	shine			Bonne pioche{desc}Choisis parmi 3 cartes aléatoires celle que tu veux ajouter à ta main. Les autres sont placées dans la défausse.	Stärkungspaket{desc}Wähle 1 von 3 zufälligen Karten und nimm sie auf die Hand. Wirf den Rest ab.	Refuerzos{desc}Escoge una de las tres cartas al azar para añadirla a tu mano. Descarta el resto.	Pacote de Reforço{desc}Escolha uma de três cartas aleatórias para adicionar à sua mão.	补充包{desc}从 3 张随机卡牌中抽取 1 张牌加入你的手牌，其余弃置。	ブースターパック{desc}ランダムなカード3枚から1枚を選び、手札に加える。残りの2枚は捨てられる。	Подкуп{desc}Выберите одну из трех случайных карт, чтобы добавить в вашу руку. Остальные сбросьте.
Booster Pack+	Skill			None	player	1	23	Booster Pack+{desc}Choose one of five random cards to add to your hand. Discard the rest.			0	0	2	1	1	0	shine			Bonne pioche+{desc}Choisis parmi 5 cartes aléatoires celle que tu veux ajouter à ta main. Les autres sont placées dans la défausse.	Stärkungspaket+{desc}Wähle 1 von 5 zufälligen Karten und nimm sie auf die Hand. Wirf den Rest ab.	Refuerzos +{desc}Escoge una de las cinco cartas al azar para añadirla a tu mano. Descarta el resto.	Pacote de Reforço+{desc}Escolha uma de cinco cartas aleatórias para adicionar à sua mão. Descarte o resto.	补充包+{desc}从 5 张随机卡牌中抽取 1 张牌加入你的手牌，其余弃置。	ブースターパック+{desc}ランダムなカード5枚から1枚を選び、手札に加える。残りの2枚は捨てられる。	Подкуп+{desc}Выберите одну из пяти случайных карт, чтобы добавить в вашу руку. Остальные сбросьте.
Loose Change	Skill			None	player	1	23	Loose Change{desc}Shuffle 3 random cards into your draw pile.			1	0	2	1	0	0	shine			Renouvellement{desc}Mélange 3 cartes aléatoires dans ta pioche.	Lose Veränderung{desc}Mische 3 zufällige Karten in deinen Nachziehstapel.	Cambio{desc}Añade 3 cartas al azar a tu mazo.	Trocado{desc}Embaralhe 3 cartas aleatórias junto da sua pilha de compras.	散碎洗牌{desc}将 3 张随机卡牌洗入抽牌堆。	小銭{desc}ランダムなカードを3枚シャッフルして山札に加える。	Карманная мелочь{desc}Перемешайте 3 случайные карты в вашу колоду.
Loose Change+	Skill			None	player	1	24	Loose Change+{desc}Shuffle 3 random cards into your draw pile and reduce their cost to 0.			0	0	2	1	0	0	shine			Renouvellement+{desc}Mélange 3 cartes aléatoires dans ta pioche et réduis leur coût à 0.	Lose Veränderung+{desc}Mische 3 zufällige Karten in deinen Nachziehstapel und senke ihre Kosten auf 0.	Cambio +{desc}Añade 3 cartas al azar a tu mazo y reduce su coste a 0.	Trocado+{desc}Embaralhe 3 cartas aleatórias junto da sua pilha de compras e reduza o custo delas a 0.	散碎洗牌+{desc}将 3 张随机卡牌洗入抽牌堆，并将它们的消耗降至 0。	小銭+{desc}ランダムなカードを3枚シャッフルして山札に加え、それらのコストが0になる。	Карманная мелочь+{desc}Перемешайте 3 случайные карты в вашу колоду и снизьте их стоимость до 0.
Borrowed Knowledge	Skill			None	player	1	23	Knowledge{desc}Shuffle 2 random Psychic cards into your Draw pile.			1	0	2	1	0	0	shine			Science{desc}Mélange 2 cartes psychiques aléatoires dans ta pioche.	Wissen{desc}Mische 2 zufällige Psycho-Karten in deinen Nachziehstapel.	Conocimiento{desc}Añade 2 cartas Psíquicas al azar a tu mazo.	Sabedoria{desc}Embaralhe 2 cartas Paranormais aleatórias junto da sua pilha de compras.	灵识借取{desc}将 2 张随机超自然卡牌洗入抽牌堆。	借りた知識{desc}ランダムなエスパーカードを2枚シャッフルし、山札に追加する。	знание{desc}Перемешайте 2 случайные магические карты в вашу колоду.
Borrowed Knowledge+	Skill			None	player	1	24	Knowledge+{desc}Shuffle 3 random Psychic cards into your draw pile and reduce their cost to 0.			0	0	2	1	0	0	shine			Science+{desc}Mélange 3 cartes psychiques aléatoires dans ta pioche et réduis leur coût à 0.	Wissen+{desc}Mische 3 zufällige Psycho-Karten in deinen Nachziehstapel und senke ihre Kosten auf 0.	Conocimiento+{desc}Añade 3 cartas Psíquicas al azar a tu mazo y reduce su coste a 0.	Sabedoria+{desc}Embaralhe 3 cartas Paranormais aleatórias junto da sua pilha de compras e reduza o custo delas a 0.	灵识借取+{desc}将 3 张随机超自然卡牌洗入抽牌堆，并将它们的消耗降至 0。	借りた知識+{desc}ランダムなエスパーカードを3枚シャッフルして山札に追加し、それらのコストが0になる。	знание+{desc}Перемешайте 3 случайные магические карты в вашу колоду и снизьте их стоимость до 0.
Cheater	Skill			None	player	1	25	Cheater{desc}Look through your draw pile and reduce one card's cost to 0.			0	0	2	1	0	0	shine			Triche{desc}Regarde dans ta pioche et réduis le coût de l'une des cartes à 0.	Schwindel{desc}Sieh dir deinen Nachziehstapel an und senke die Kosten 1 Karte auf 0.	Juego Sucio{desc}Échale un ojo al mazo y reduce el coste de una carta a 0.	Trapacear{desc}Dê uma olhada na sua pilha de compras e reduza o custo de uma das cartas a 0.	作弊者{desc}查看你的抽牌堆，并将 1 张卡牌的消耗降至 0。	ズル{desc}山札を確認し、それらのカードのコストを0にする。	Шулер{desc}Просмотрите вашу колоду и снизьте стоимость одной карты до 0.
Gloves Off	Skill			None	player	0	21	Gloves Off{desc}Exhaust one Bash card from your hand. Gain 1 Energy.			1	0	2	0	1	0	shine			Conversion{desc}Élimine une carte Impact de ta main. Gagne 1 point d'énergie.	Handschuhe ausziehen{desc}Erschöpfe 1 Hieb-Karte aus deiner Hand. Erhalte 1 Energie.	A Degüello{desc}Consume una carta de Aporrear de tu mano. Obtienes 1 punto de energía.	Mano a Mano{desc}Coloque uma carta de Golpear da sua mão em Exaustão e ganhe 1 de Energia.	卸甲一击{desc}耗尽手牌中的 1 张猛击卡牌，获得 1 能源。	闘志{desc}手札の「なぐる」カード1枚を消耗状態にし、エネルギーを1得る。	Вызов{desc}Сжечь одну карту Таран из вашей руки. Получите 1 энергию.
Gloves Off+	Skill			None	player	0	22	Gloves Off+{desc}Discard one Bash card from your hand. Gain 1 Energy.			0	0	2	0	1	0	shine			Conversion+{desc}Défausse-toi d'une carte Impact de ta main. Gagne 1 point d'énergie.	Handschuhe ausziehen+{desc}Wirf 1 Hieb-Karte aus deiner Hand ab. Erhalte 1 Energie.	A Degüello +{desc}Descarta una carta de Aporrear de tu mano. Obtienes 1 punto de energía.	Mano a Mano+{desc}Descarte uma carta de Golpear da sua mão e ganhe 1 de Energia.	卸甲一击+{desc}弃置手牌中的 1 张猛击卡牌，获得 1 能源。	闘志+{desc}手札の「なぐる」カード1枚を捨て、エネルギーを1得る。	Вызов+{desc}Сбросить одну карту Таран из вашей руки. Получите 1 энергию.
Doff Defense	Skill			None	player	1	21	Doff Defense{desc}Exhaust all Bash cards from your hand. Draw that many cards.			1	0	2	0	1	0	shine			Bon débarras{desc}Élimine toutes les cartes Impact de ta main et pioches-en autant.	Verteidigung loswerden{desc}Erschöpfe alle Hieb-Karten aus deiner Hand. Ziehe entsprechend viele Karten.	Defensas Fuera{desc}Consume todas las cartas de Aporrear de tu mano y roba tantas como hayas consumido.	Remoção de Defesa{desc}Coloque todas as cartas de Golpear da sua mão em Exaustão e compre a mesma quantidade de cartas da sua pilha.	舍甲揽牌{desc}耗尽手牌中全部猛击卡牌。抽取与耗尽卡牌数量相等的卡牌。	捨て身{desc}手札の「なぐる」カードをすべて消耗状態にし、同数のカードを引く。	Рокировка{desc}Сжечь все карты Таран из вашей руки. Получите столько же карт.
Doff Defense+	Skill			None	player	1	22	Doff Defense+{desc}Discard all Bash cards from your hand. Draw that many cards.			0	0	2	0	1	0	shine			Bon débarras+{desc}Défausse-toi de toutes les cartes Impact de ta main et pioches-en autant.	Verteidigung loswerden+{desc}Wirf alle Hieb-Karten aus deiner Hand ab. Ziehe entsprechend viele Karten.	Defensas Fuera +{desc}Descarta todas las cartas de Aporrear de tu mano y roba tantas como hayas descartado.	Remoção de Defesa+{desc}Descarte todas as cartas de Golpear da sua mão e compre a mesma quantidade de cartas da sua pilha.	舍甲揽牌+{desc}弃置手牌中全部猛击卡牌。抽取与弃置卡牌数量相等的卡牌。	捨て身+{desc}手札の「なぐる」カードをすべて捨て、同数のカードを引く。	Рокировка+{desc}Сбросить все карты Таран из вашей руки. Получите столько же карт.
																										
	type	stat	multiplier	element	target	playerCost	rarity	EN	damage	condition	upgradeable	AI	weight	exhaust	retain	armor	gfx	draw	energy_gain	FR	DE	ES	BR	CN	JP	
																										
																										
																										

	type	stat	multiplier	element	target	playerCost	rarity	EN	damage	condition	upgradeable	AI	weight	exhaust	retain	armor	gfx	draw	energy_gain	FR	DE	ES	BR	CN	JP	
																										
Rock Throw	Attack	power	1	Earth	opponent	1	1	Rock Throw{desc}Deal {dmg} Earth damage.	Earth		1	1	1	0	0	0	earth			Jet de pierre{desc}Inflige {dmg} point(s) de dégâts de terre.	Felswurf{desc}Verursache {dmg} Erdschaden.	Lanzarrocas{desc}Inflige {dmg} punto(s) de daño de tierra.	Arremesso de Rocha{desc}Causa {dmg} de dano de Terra.	投石{desc}造成{dmg}点土系伤害。	岩投げ{desc}{dmg}土ダメージを与える。	Бросок камня{desc}Наносит {dmg} земляного урона.
Rock Throw+	Attack	power	2	Earth	opponent	1	2	Rock Throw+{desc}Deal {dmg} Earth damage.	Earth		0	1	1	0	0	0	earth			Jet de pierre+{desc}Inflige {dmg} point(s) de dégâts de terre.	Felswurf+{desc}Verursache {dmg} Erdschaden.	Lanzarrocas +{desc}Inflige {dmg} punto(s) de daño de tierra.	Arremesso de Rocha+{desc}Causa {dmg} de dano de Terra.	投石+{desc}造成 {dmg} 点土系伤害。	岩投げ+{desc}{dmg}土ダメージを与える。	Бросок камня+{desc}Наносит {dmg} земляного урона.
Earthquake	Attack	power	0.5	Earth	opponents	1	3	Earthquake{desc}Deal {dmg} Earth damage and remove 1 Armor from all enemies.	Earth		1	1	1	0	0	1	erupt			Séisme{desc}Inflige {dmg} point(s) de dégâts de terre à tous les ennemis et réduit leur armure de 1.	Erdbeben{desc}Verursache {dmg} Erdschaden und entferne 1 Rüstung von allen Gegnern.	Terremoto{desc}Inflige {dmg} punto(s) de daño de tierra y elimina 1 punto de Armadura a todos los enemigos.	Terremoto{desc}Causa {dmg} de dano de Terra e remove 1 de Armadura de todos os inimigos.	地震{desc}造成{dmg}点土系伤害并解除所有敌人 1 点防御。	地震{desc}敵全体に{dmg}土ダメージを与え、アーマーを1減らす。	Землетрясение{desc}Наносит {dmg} земляного урона и снимает 1 броню со всех противников.
Earthquake+	Attack	power	1	Earth	opponents	1	4	Earthquake+{desc}Deal {dmg} Earth damage and remove 2 Armor from all enemies.	Earth		0	1	0.9	0	0	2	erupt			Séisme+{desc}Inflige {dmg} point(s) de dégâts de terre à tous les ennemis et réduit leur armure de 2.	Erdbeben+{desc}Verursache {dmg} Erdschaden und entferne 2 Rüstung von allen Gegnern.	Terremoto +{desc}Inflige {dmg} punto(s) de daño de tierra y elimina 2 puntos de Armadura a todos los enemigos.	Terremoto+{desc}Causa {dmg} de dano de Terra e remove 2 de Armadura de todos os inimigos.	地震+{desc}造成 {dmg} 点土系伤害并解除所有敌人 2 点防御。	地震+{desc}敵全体に{dmg}土ダメージを与え、アーマーを2減らす。	Землетрясение+{desc}Наносит {dmg} земляного урона и снимает 2 брони со всех противников.
Fury of Blows	Attack	power	1	Earth	opponent	1	2	Fury of Blows{desc}Deal {dmg} Earth damage twice.	Earth*2		1	1	0.9	0	0	0	redBurst			Volée de coups{desc}Inflige {dmg} point(s) de dégâts de terre à 2 reprises.	Schlaghagel{desc}Verursache zweimal {dmg} Erdschaden.	Golpes furia{desc}Inflige {dmg} punto(s) de daño de tierra dos veces.	Golpe de Fúria{desc}Causa {dmg} de dano de Terra duas vezes.	狂风暴雨{desc}造成 2次 {dmg}点土系伤害。	猛攻{desc}{dmg}土ダメージを2回与える。	Яростные удары{desc}Наносит {dmg} земляного урона дважды.
